plot,month,year,species,cover,height,phenology,remarks
F1P1,February,2019,Alyssum alyssoides,+,2,v,
F1P1,February,2019,Arenaria serpyllifolia,2m,1,v,
F1P1,February,2019,Buglossoides incrassata,2a,1,v,0
F1P1,February,2019,Echium vulgare,1,1,v,0
F1P1,February,2019,Erodium cicutarium,2a,1,v,
F1P1,February,2019,Festuca valesiaca,+,4,v,
F1P1,February,2019,Geranium pusillum,1,1,v,
F1P1,February,2019,Lamium amplexicaule,1,3,v,
F1P1,February,2019,Medicago minima,+,1,v,
F1P1,February,2019,Microthlaspi perfoliatum,r,1,v,
F1P1,February,2019,Potentilla incana,+,2,v,
F1P1,February,2019,Teucrium chamaedrys,+,4,v,
F1P1,February,2019,Verbascum lychnitis,1,1,v,
F1P1,February,2019,Veronica sublobata,+,1,v,
F1P2,February,2019,Alyssum alyssoides,+,2,v,
F1P2,February,2019,Arabis auriculata,r,1,v,
F1P2,February,2019,Arenaria serpyllifolia,+,1,v,
F1P2,February,2019,Arrhenatherum elatius,+,7,v,
F1P2,February,2019,Artemisia absinthium,1,8,v,
F1P2,February,2019,Buglossoides incrassata,2b,2,v,0
F1P2,February,2019,Cerastium sp.,r,1,v,Cerastium pumilum
F1P2,February,2019,Echium vulgare,1,2,v,0
F1P2,February,2019,Erodium cicutarium,+,2,v,
F1P2,February,2019,Festuca valesiaca,+,3,v,
F1P2,February,2019,Geranium pusillum,2a,3,v,
F1P2,February,2019,Lamium amplexicaule,2b,2,v,
F1P2,February,2019,Medicago minima,1,2,v,
F1P2,February,2019,Ranunculus illyricus,+,2,v,
F1P2,February,2019,Teucrium chamaedrys,1,3,v,
F1P2,February,2019,Verbascum lychnitis,1,2,v,
F1P2,February,2019,Veronica sublobata,2a,2,s,
F1P3,February,2019,Arrhenatherum elatius,r,3,v,
F1P3,February,2019,Buglossoides incrassata,1,1,v,0
F1P3,February,2019,Echium vulgare,1,1,v,0
F1P3,February,2019,Elymus hispidus,+,3,v,
F1P3,February,2019,Festuca valesiaca,+,3,v,
F1P3,February,2019,Geranium pusillum,1,2,v,
F1P3,February,2019,Lamium amplexicaule,1,2,v,
F1P3,February,2019,Medicago minima,r,1,v,
F1P3,February,2019,Teucrium chamaedrys,2a,10,v,
F1P3,February,2019,Veronica sublobata,2a,2,s,
F1P4,February,2019,Anthriscus cerefolium,1,4,v,
F1P4,February,2019,Arabis auriculata,+,2,v,
F1P4,February,2019,Arenaria serpyllifolia,+,1,v,
F1P4,February,2019,Arrhenatherum elatius,+,4,v,
F1P4,February,2019,Carex praecox,1,5,v,
F1P4,February,2019,Echium vulgare,1,2,v,0
F1P4,February,2019,Elymus hispidus,+,1,v,
F1P4,February,2019,Geranium pusillum,1,2,v,
F1P4,February,2019,Lamium amplexicaule,2a,2,v,
F1P4,February,2019,Medicago minima,+,1,v,
F1P4,February,2019,Ranunculus illyricus,+,2,v,
F1P4,February,2019,Teucrium chamaedrys,2a,5,v,
F1P4,February,2019,Veronica sublobata,2b,1,s,
F1P5,February,2019,Allium flavum,+,3,v,
F1P5,February,2019,Anthriscus cerefolium,+,2,v,
F1P5,February,2019,Arabis auriculata,r,1,v,
F1P5,February,2019,Artemisia campestris,+,5,v,
F1P5,February,2019,Buglossoides incrassata,1,1,v,0
F1P5,February,2019,Carex praecox,+,3,v,
F1P5,February,2019,Echium vulgare,1,1,v,0
F1P5,February,2019,Elymus hispidus,+,5,v,
F1P5,February,2019,Geranium pusillum,2a,1,v,
F1P5,February,2019,Holosteum umbellatum,r,1,v,
F1P5,February,2019,Lamium amplexicaule,1,2,v,
F1P5,February,2019,Medicago minima,+,2,v,
F1P5,February,2019,Phleum phleoides,1,3,v,
F1P5,February,2019,Ranunculus illyricus,+,1,v,
F1P5,February,2019,Teucrium chamaedrys,1,4,v,
F1P5,February,2019,Veronica sublobata,+,1,v,
F1P6,February,2019,Acinos arvensis,+,1,v,
F1P6,February,2019,Anthriscus cerefolium,r,2,v,cf qua5
F1P6,February,2019,Artemisia absinthium,+,2,v,
F1P6,February,2019,Buglossoides incrassata,2a,2,v,0
F1P6,February,2019,Echium vulgare,1,4,v,0
F1P6,February,2019,Gagea pusilla,r,2,v,
F1P6,February,2019,Geranium pusillum,1,1,v,
F1P6,February,2019,Lamium amplexicaule,2a,1,pre fl,
F1P6,February,2019,Lepidium campestre,+,2,pre fl,
F1P6,February,2019,Medicago minima,r,1,v,
F1P6,February,2019,Poa angustifolia,r,3,v,
F1P6,February,2019,Ranunculus illyricus,r,1,v,
F1P6,February,2019,Teucrium chamaedrys,2a,2,v,
F1P6,February,2019,Veronica sublobata,2b,1,v,
F2P1,February,2019,Acinos arvensis,r,1,v,
F2P1,February,2019,Arabis auriculata,+,1,v,
F2P1,February,2019,Arenaria serpyllifolia,+,1,v,
F2P1,February,2019,Bromus japonicus,r,3,v,
F2P1,February,2019,Buglossoides incrassata,+,1,v,0
F2P1,February,2019,Echium vulgare,+,1,v,0
F2P1,February,2019,Erodium cicutarium,+,1,v,
F2P1,February,2019,Lamium amplexicaule,2a,1,v,
F2P1,February,2019,Lepidium campestre,+,1,v,qua 6 (microthlaspi)
F2P1,February,2019,Medicago minima,+,1,v,
F2P1,February,2019,Melica ciliata,1,4,v,
F2P1,February,2019,Phleum phleoides,+,1,v,
F2P1,February,2019,Potentilla incana,2b,2,v,
F2P1,February,2019,Sedum album,+,1,v,
F2P1,February,2019,Teucrium chamaedrys,+,3,v,
F2P1,February,2019,Veronica sublobata,1,1,s,
F2P2,February,2019,Acinos arvensis,+,1,v,eaten in june
F2P2,February,2019,Alyssum alyssoides,+,1,v,
F2P2,February,2019,Arabis auriculata,+,1,v,
F2P2,February,2019,Arenaria serpyllifolia,1,1,v,
F2P2,February,2019,Artemisia absinthium,r,1,s,
F2P2,February,2019,Bromus tectorum,+,2,v,
F2P2,February,2019,Centaurea stoebe,r,1,v,
F2P2,February,2019,Echium vulgare,1,1,v,0
F2P2,February,2019,Erodium cicutarium,1,1,v,
F2P2,February,2019,Gagea pusilla,r,1,v,
F2P2,February,2019,Lamium amplexicaule,+,1,v,
F2P2,February,2019,Lepidium campestre,+,1,v,
F2P2,February,2019,Medicago minima,+,1,v,
F2P2,February,2019,Phleum phleoides,2a,2,v,
F2P2,February,2019,Teucrium chamaedrys,2a,7,v,
F2P2,February,2019,Verbascum lychnitis,1,1,v,
F2P2,February,2019,Veronica sublobata,+,1,s,
F2P3,February,2019,Allium flavum,+,4,v,
F2P3,February,2019,Alyssum alyssoides,+,1,v,
F2P3,February,2019,Artemisia absinthium,1,3,v,
F2P3,February,2019,Bromus japonicus,+,3,v,"sec1, orange are the once secondary added, values taken from Poa ang"
F2P3,February,2019,Buglossoides incrassata,+,1,v,0
F2P3,February,2019,Carex praecox,1,4,v,
F2P3,February,2019,Echium vulgare,1,1,v,0
F2P3,February,2019,Erodium cicutarium,1,1,v,
F2P3,February,2019,Festuca valesiaca,1,3,v,
F2P3,February,2019,Lamium amplexicaule,+,1,v,
F2P3,February,2019,Medicago minima,1,1,v,
F2P3,February,2019,Melica ciliata,1,4,v,(migh be mixed with carex in febr) - corrected
F2P3,February,2019,Phleum phleoides,2a,4,v,
F2P3,February,2019,Sedum album,r,1,v,
F2P3,February,2019,Teucrium chamaedrys,2a,7,v,
F2P3,February,2019,Veronica sublobata,1,2,s,
F2P4,February,2019,Arenaria serpyllifolia,1,1,v,
F2P4,February,2019,Bromus tectorum,+,2,v,merged wth japonicus of october
F2P4,February,2019,Carex supina,1,3,v,
F2P4,February,2019,Echium vulgare,+,1,v,0
F2P4,February,2019,Erodium cicutarium,1,1,v,
F2P4,February,2019,Gagea pusilla,r,2,v,
F2P4,February,2019,Geranium pusillum,+,2,v,
F2P4,February,2019,Lamium amplexicaule,1,1,v,
F2P4,February,2019,Medicago minima,+,1,v,
F2P4,February,2019,Microthlaspi perfoliatum,1,1,v,
F2P4,February,2019,Teucrium chamaedrys,2b,7,v,
F2P4,February,2019,Veronica sublobata,2a,2,s,
F2P5,February,2019,Acinos arvensis,r,1,v,
F2P5,February,2019,Arenaria serpyllifolia,+,1,v,
F2P5,February,2019,Echium vulgare,r,1,v,0
F2P5,February,2019,Lamium amplexicaule,+,1,v,
F2P5,February,2019,Medicago minima,+,1,v,
F2P5,February,2019,Microthlaspi perfoliatum,+,1,v,
F2P5,February,2019,Sedum album,r,1,v,
F2P5,February,2019,Veronica sublobata,+,1,s,
F2P6,February,2019,Alyssum alyssoides,+,1,v,
F2P6,February,2019,Arenaria serpyllifolia,1,1,v,
F2P6,February,2019,Bromus tectorum,+,1,v,winter ones merged with past year ones
F2P6,February,2019,Cerastium sp.,r,1,v,
F2P6,February,2019,Erodium cicutarium,+,1,v,
F2P6,February,2019,Gagea pusilla,+,2,v,
F2P6,February,2019,Lamium amplexicaule,+,1,v,
F2P6,February,2019,Medicago minima,2a,1,v,
F2P6,February,2019,Microthlaspi perfoliatum,+,1,v,
F2P6,February,2019,Minuartia rubra,+,1,v,
F2P6,February,2019,Poa bulbosa,+,2,v,
F2P6,February,2019,Sedum album,r,1,v,
F2P6,February,2019,Veronica praecox,+,1,v,
F2P6,February,2019,Veronica sublobata,+,1,s,
F3P1,February,2019,Acinos arvensis,+,1,v,
F3P1,February,2019,Alyssum alyssoides,2b,1,v,
F3P1,February,2019,Arenaria serpyllifolia,1,1,v,
F3P1,February,2019,Arrhenatherum elatius,r,2,v," (quadr 6, 1 individual)"
F3P1,February,2019,Buglossoides incrassata,+,1,v,0
F3P1,February,2019,Dianthus pontederae,+,3,v,
F3P1,February,2019,Erodium cicutarium,3,1,v,
F3P1,February,2019,Gagea pusilla,r,1,v,
F3P1,February,2019,Geranium pusillum,r,1,v,
F3P1,February,2019,Koeleria macrantha,+,2,v,
F3P1,February,2019,Lamium amplexicaule,1,1,v,
F3P1,February,2019,Medicago minima,+,1,v,
F3P1,February,2019,Verbascum lychnitis,1,1,v,
F3P2,February,2019,Allium flavum,+,1,v,
F3P2,February,2019,Alyssum alyssoides,+,1,v,
F3P2,February,2019,Arabis auriculata,r,1,v,
F3P2,February,2019,Arenaria serpyllifolia,1,1,v,
F3P2,February,2019,Buglossoides incrassata,1,1,v,0
F3P2,February,2019,Echium vulgare,+,1,v,0
F3P2,February,2019,Erodium cicutarium,+,1,v,
F3P2,February,2019,Festuca valesiaca,+,2,v,
F3P2,February,2019,Galium glaucum,+,1,v,
F3P2,February,2019,Lamium amplexicaule,r,1,v,
F3P2,February,2019,Medicago minima,1,1,v,
F3P2,February,2019,Minuartia rubra,r,1,v,
F3P2,February,2019,Potentilla incana,3,2,v,
F3P2,February,2019,Sedum album,1,1,v,
F3P2,February,2019,Verbascum lychnitis,r,1,v,
F3P2,February,2019,Veronica praecox,+,1,s,
F3P2,February,2019,Veronica sublobata,+,1,s,
F3P3,February,2019,Acinos arvensis,+,1,v,
F3P3,February,2019,Allium flavum,r,2,v,
F3P3,February,2019,Alyssum alyssoides,1,1,v,
F3P3,February,2019,Arenaria serpyllifolia,+,1,v,
F3P3,February,2019,Cerastium sp.,r,1,s,Cerastium semidecandrum
F3P3,February,2019,Echium vulgare,+,1,v,0
F3P3,February,2019,Erodium cicutarium,2a,1,v,
F3P3,February,2019,Lamium amplexicaule,+,1,v,
F3P3,February,2019,Medicago minima,+,1,v,
F3P3,February,2019,Sedum album,1,2,v,
F3P3,February,2019,Taraxacum sect. Erythrosperma,r,1,v,
F3P3,February,2019,Verbascum lychnitis,+,1,v,
F3P3,February,2019,Veronica prostrata,2a,2,v,
F3P4,February,2019,Acinos arvensis,1,2,v,
F3P4,February,2019,Alyssum alyssoides,1,1,v,
F3P4,February,2019,Arenaria serpyllifolia,1,1,v,
F3P4,February,2019,Bromus tectorum,r,1,v,"later considered as japonicus, why?"
F3P4,February,2019,Buglossoides incrassata,+,1,v,0
F3P4,February,2019,Cerastium sp.,r,1,v,Cerastium semidecandrum
F3P4,February,2019,Echium vulgare,+,1,v,0
F3P4,February,2019,Erodium cicutarium,2a,1,v,
F3P4,February,2019,Festuca valesiaca,+,3,v,
F3P4,February,2019,Medicago minima,+,1,v,
F3P4,February,2019,Melica ciliata,+,8,v,
F3P4,February,2019,Potentilla incana,+,2,v,
F3P4,February,2019,Sedum album,+,2,v,
F3P4,February,2019,Teucrium chamaedrys,2a,7,v,
F3P4,February,2019,Verbascum lychnitis,+,1,v,Inula conyza (verbascum sec4
F3P4,February,2019,Veronica sublobata,1,1,s,
F3P5,February,2019,Allium flavum,+,4,v,
F3P5,February,2019,Alyssum alyssoides,2a,1,v,
F3P5,February,2019,Arenaria serpyllifolia,+,1,v,
F3P5,February,2019,Buglossoides incrassata,+,1,v,0
F3P5,February,2019,Erodium cicutarium,+,1,v,
F3P5,February,2019,Gagea pusilla,+,2,v,
F3P5,February,2019,Lamium amplexicaule,+,1,v,
F3P5,February,2019,Melica ciliata,+,4,v,
F3P5,February,2019,Poa bulbosa,+,2,v,
F3P5,February,2019,Veronica sublobata,+,1,s,
F3P6,February,2019,Acinos arvensis,+,1,v,eaten in june
F3P6,February,2019,Alyssum alyssoides,2b,1,v,
F3P6,February,2019,Arenaria serpyllifolia,1,1,v,
F3P6,February,2019,Arrhenatherum elatius,+,2,v,error with Koeleria (from FEB)
F3P6,February,2019,Buglossoides incrassata,r,1,v,0
F3P6,February,2019,Dianthus pontederae,+,2,v,
F3P6,February,2019,Erodium cicutarium,2a,1,v,
F3P6,February,2019,Festuca valesiaca,1,3,v,
F3P6,February,2019,Gagea pusilla,+,1,v,
F3P6,February,2019,Lamium amplexicaule,+,1,v,
F3P6,February,2019,Medicago minima,+,1,v,
F3P6,February,2019,Melica ciliata,+,2,v,
F3P6,February,2019,Minuartia rubra,+,1,v,
F3P6,February,2019,Poa bulbosa,+,3,v, (probably in feb too)
F3P6,February,2019,Sedum album,1,1,v,
F3P6,February,2019,Senecio vulgaris,+,2,fl,
F4P1,February,2019,Acinos arvensis,+,1,v,
F4P1,February,2019,Allium flavum,r,1,v,
