species,LA,SLA,LDMC,sum_nas
Allium_flavum,TRUE,TRUE,TRUE,3
Arabis_auriculata,TRUE,TRUE,TRUE,3
Buglossoides_incrassata,TRUE,TRUE,TRUE,3
Carex_supina,TRUE,TRUE,TRUE,3
Dianthus_pontederae,TRUE,TRUE,TRUE,3
Elymus_hispidus,TRUE,TRUE,TRUE,3
Erophila_spathulata,TRUE,TRUE,TRUE,3
Festuca_csikhegyensis,TRUE,TRUE,TRUE,3
Festuca_rupicola,TRUE,TRUE,TRUE,3
Festuca_valesiaca,TRUE,TRUE,TRUE,3
Gagea_pusilla,TRUE,TRUE,TRUE,3
Hesperis_tristis,TRUE,TRUE,TRUE,3
Iris_pumila,TRUE,TRUE,TRUE,3
Jovibarba_globifera,TRUE,TRUE,TRUE,3
Microthlaspi_perfoliatum,TRUE,TRUE,TRUE,3
Minuartia_rubra,TRUE,TRUE,TRUE,3
Poa_badensis,TRUE,TRUE,TRUE,3
Potentilla_incana,TRUE,TRUE,TRUE,3
Ranunculus_illyricus,TRUE,TRUE,TRUE,3
Seseli_osseum,TRUE,TRUE,TRUE,3
Veronica_arvensis,TRUE,TRUE,TRUE,3
Veronica_prostrata,TRUE,TRUE,TRUE,3
Veronica_sublobata,TRUE,TRUE,TRUE,3
Carex_praecox,TRUE,FALSE,TRUE,2
Euphorbia_cyparissias,TRUE,FALSE,TRUE,2
Inula_oculus-christi,FALSE,FALSE,TRUE,1
Medicago_minima,TRUE,FALSE,FALSE,1
Achillea_collina,FALSE,FALSE,FALSE,0
Acinos_arvensis,FALSE,FALSE,FALSE,0
Alyssum_alyssoides,FALSE,FALSE,FALSE,0
Anthriscus_cerefolium,FALSE,FALSE,FALSE,0
Arenaria_serpyllifolia,FALSE,FALSE,FALSE,0
Arrhenatherum_elatius,FALSE,FALSE,FALSE,0
Artemisia_absinthium,FALSE,FALSE,FALSE,0
Artemisia_campestris,FALSE,FALSE,FALSE,0
Bromus_japonicus,FALSE,FALSE,FALSE,0
Bromus_tectorum,FALSE,FALSE,FALSE,0
Camelina_microcarpa,FALSE,FALSE,FALSE,0
Centaurea_stoebe,FALSE,FALSE,FALSE,0
Convolvulus_arvensis,FALSE,FALSE,FALSE,0
Echium_vulgare,FALSE,FALSE,FALSE,0
Erodium_cicutarium,FALSE,FALSE,FALSE,0
Erysimum_odoratum,FALSE,FALSE,FALSE,0
Fragaria_viridis,FALSE,FALSE,FALSE,0
Galium_glaucum,FALSE,FALSE,FALSE,0
Galium_verum,FALSE,FALSE,FALSE,0
Geranium_pusillum,FALSE,FALSE,FALSE,0
Holosteum_umbellatum,FALSE,FALSE,FALSE,0
Hypericum_perforatum,FALSE,FALSE,FALSE,0
Koeleria_macrantha,FALSE,FALSE,FALSE,0
Lamium_amplexicaule,FALSE,FALSE,FALSE,0
Lappula_squarrosa,FALSE,FALSE,FALSE,0
Lepidium_campestre,FALSE,FALSE,FALSE,0
Lotus_corniculatus,FALSE,FALSE,FALSE,0
Medicago_lupulina,FALSE,FALSE,FALSE,0
Melica_ciliata,FALSE,FALSE,FALSE,0
Myosotis_arvensis,FALSE,FALSE,FALSE,0
Odontites_vernus,FALSE,FALSE,FALSE,0
Phleum_phleoides,FALSE,FALSE,FALSE,0
Poa_angustifolia,FALSE,FALSE,FALSE,0
Poa_bulbosa,FALSE,FALSE,FALSE,0
Saxifraga_tridactylites,FALSE,FALSE,FALSE,0
Scabiosa_ochroleuca,FALSE,FALSE,FALSE,0
Securigera_varia,FALSE,FALSE,FALSE,0
Sedum_album,FALSE,FALSE,FALSE,0
Senecio_vulgaris,FALSE,FALSE,FALSE,0
Taraxacum_sect._Erythrosperma,FALSE,FALSE,FALSE,0
Teucrium_chamaedrys,FALSE,FALSE,FALSE,0
Thymus_praecox,FALSE,FALSE,FALSE,0
Tragopogon_dubius,FALSE,FALSE,FALSE,0
Trifolium_arvense,FALSE,FALSE,FALSE,0
Trifolium_campestre,FALSE,FALSE,FALSE,0
Valerianella_locusta,FALSE,FALSE,FALSE,0
Verbascum_lychnitis,FALSE,FALSE,FALSE,0
Veronica_praecox,FALSE,FALSE,FALSE,0
Veronica_verna,FALSE,FALSE,FALSE,0
Vincetoxicum_hirundinaria,FALSE,FALSE,FALSE,0
