	Height	Tree	Shrub	WoodyLiana	ParasiticEpiphyte	DwarfShrub	MonocarpPerennialHerb	PolycarpNonClonalHerb	ClonalHerb	AnnualHerb	ChamPh	GeoPh	HemiPh	HydroPh	MphanPh	NphanPh	TherPh	LfArVertic	LfArAltern	LfArRosette	LfArOppos	LfTSimple	LfTReduced	LfTComp	LfGrSpring	LfGrSummer	LfGrWinter	LfGrPersist	LfScler	LfSuccul	LA	SLA	LDMC	FloweringLength	Dioecy	OutCross	AutoGam	ZooGam	AnemoGam	HydroGam	FleshyFr	VegetRepr	MyrmChor	SeedMass	SeedNo	Sh_polycyclic_Woody_incl	BdBank_size	BdBank_depth	Parasit	MHtroph	Cvory	Nfix	Gnm_size	Gnm_GC	Clon_persist	Clon_multip	LateralSpr	ClonInd	ClonDispOrg	DiasporeVeg	DiasporeGen	DispAllium	DispBidens	DispCornus	DispEpilobium	DispalLycopodium	DispPhragmites	DispSparganium	DispWolffia	DispZea
Abies_alba	40	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0.88	0	41.25	5.87	319.3	1	0	0.9	0	0	1	1	0	0	0	79.2	NA	1	0	0	0	0	0	0	33783.36	43.47	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Abutilon_theophrasti	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0.75	0	NA	NA	NA	2	0	0.6	1	0	0	0	0	0	0	10.61	NA	NA	NA	NA	0	0	0	0	NA	NA	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Acer_campestre	7.5	0.75	0.25	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0.75	0	4741.5	14.54	360.5	1	0	0.5	0	1	0	0	0	0.25	0	54.35	1548.5	1	30	10	0	0	0	0	1221.32	37.68	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0
Acer_negundo	15	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0.75	0	NA	25.1	NA	2	1	0.9	0	0	1	1	0	0.5	0	41.21	NA	1	0	0	0	0	0	0	906.36	37.21	NA	NA	NA	NA	NA	0	1	0	0	0	1	0	0	0	0	0
Acer_platanoides	25	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0.63	0	5193.77	19.66	274	2	0	1	0	1	0	0	0	0	0	100.83	1	1	0	0	0	0	0	0	1239.55	37.81	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Acer_pseudoplatanus	30	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0.75	0	8365.18	16.68	262.5	1	0.5	0.75	0	1	0	0	0	0	0	69.2	3407	1	30	10	0	0	0	0	2336.28	37.82	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
Achillea_asplenifolia	0.6	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	NA	NA	NA	NA	NA	0	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	0	NA	1	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Achillea_collina	0.43	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.88	0	1037.49	17.4	190.87	5	0.5	0.88	0	1	0	0	0	0.5	1	0.14	5523.82	NA	NA	NA	0	0	0	0	9295.79	40.22	NA	NA	NA	NA	NA	0	1	1	0	0	0	0	0	0	0	0
Achillea_millefolium	0.55	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0.88	0	411	18.94	185.5	5	0.5	0.88	0	1	0	0	0	0.5	1	0.13	4969.69	1	22.14	5.06	0	0	0	0	13496.44	NA	4	4.75	0.14	5	0	0	1	1	0	0	0	0	0	0	0	0
Achillea_nobilis	0.38	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0.88	0	NA	NA	NA	5	0.5	1	0	1	0	0	0	0.5	1	0.06	NA	1	37.67	8.45	0	0	0	0	4523.38	40.15	3.5	3.38	0.1	5	0	0	1	1	0	0	0	0	0	0	0	0
