species_nas_all,species_fenomor_nas,species_fenomor_LQT_nas,species_fenomor_SM_nas,species_devin_nas
Allium flavum,Allium flavum,Allium flavum,Arabis auriculata,Allium flavum
Arabis auriculata,Arabis auriculata,Arabis auriculata,Astragalus onobrychis,Arabis auriculata
Astragalus onobrychis,Astragalus onobrychis,Astragalus onobrychis,Carex supina,Buglossoides incrassata
Bothriochloa ischaemum,Bothriochloa ischaemum,Bothriochloa ischaemum,Chamaecytisus austriacus,Carex praecox
Buglossoides incrassata,Bupleurum falcatum,Bupleurum falcatum,Crambe tataria,Carex supina
Bupleurum falcatum,Carex supina,Carex supina,Cytisus procumbens,Dianthus pontederae
Carex praecox,Centaurea triumfetti,Centaurea triumfetti,Dianthus lumnitzeri,Elymus hispidus
Carex supina,Cerastium pumilum,Cerastium pumilum,Dianthus pontederae,Erophila spathulata
Centaurea triumfetti,Chamaecytisus austriacus,Chamaecytisus austriacus,Festuca csikhegyensis,Euphorbia cyparissias
Cerastium pumilum,Chamaecytisus ratisbonensis,Chamaecytisus ratisbonensis,Inula ensifolia,Festuca csikhegyensis
Chamaecytisus austriacus,Crambe tataria,Crambe tataria,Inula oculus-christi,Festuca rupicola
Chamaecytisus ratisbonensis,Cytisus procumbens,Cytisus procumbens,Iris arenaria,Festuca valesiaca
Crambe tataria,Dianthus lumnitzeri,Dianthus lumnitzeri,Lotus borbasii,Gagea pusilla
Cytisus procumbens,Dianthus pontederae,Dianthus pontederae,Ornithogalum kochii,Hesperis tristis
Dianthus lumnitzeri,Dorycnium germanicum,Dorycnium germanicum,Potentilla incana,Inula oculus-christi
Dianthus pontederae,Elymus hispidus,Elymus hispidus,Rapistrum perenne,Iris pumila
Dorycnium germanicum,Euphorbia cyparissias,Euphorbia cyparissias,Seseli osseum,Jovibarba globifera
Elymus hispidus,Festuca csikhegyensis,Festuca csikhegyensis,Seseli pallasii,Medicago minima
Erophila spathulata,Festuca rupicola,Festuca rupicola,Stipa eriocaulis,Microthlaspi perfoliatum
Euphorbia cyparissias,Festuca valesiaca,Festuca valesiaca,Stipa pennata,Minuartia rubra
Festuca csikhegyensis,Inula ensifolia,Inula ensifolia,Stipa pulcherrima,Poa badensis
Festuca rupicola,Inula germanica,Inula germanica,Veronica prostrata,Potentilla incana
Festuca valesiaca,Inula hirta,Inula hirta,Veronica vindobonensis,Ranunculus illyricus
Gagea pusilla,Inula oculus-christi,Inula oculus-christi,Viola rupestris,Seseli osseum
Hesperis tristis,Iris arenaria,Iris arenaria,FALSE,Taraxacum sect. Erythrosperma
Inula ensifolia,Iris pumila,Iris pumila,FALSE,Veronica arvensis
Inula germanica,Jovibarba globifera,Jovibarba globifera,FALSE,Veronica praecox
Inula hirta,Linaria genistifolia,Linaria genistifolia,FALSE,Veronica prostrata
Inula oculus-christi,Linum tenuifolium,Linum tenuifolium,FALSE,Veronica sublobata
Iris arenaria,Lotus borbasii,Lotus borbasii,FALSE,FALSE
Iris pumila,Medicago falcata,Medicago falcata,FALSE,FALSE
Jovibarba globifera,Medicago minima,Medicago minima,FALSE,FALSE
Linaria genistifolia,Microthlaspi perfoliatum,Microthlaspi perfoliatum,FALSE,FALSE
Linum tenuifolium,Minuartia rubra,Minuartia rubra,FALSE,FALSE
Lotus borbasii,Minuartia setacea,Minuartia setacea,FALSE,FALSE
Medicago falcata,Ornithogalum kochii,Ornithogalum kochii,FALSE,FALSE
Medicago minima,Orobanche alba,Orobanche alba,FALSE,FALSE
Microthlaspi perfoliatum,Poa badensis,Poa badensis,FALSE,FALSE
Minuartia rubra,Potentilla incana,Potentilla incana,FALSE,FALSE
Minuartia setacea,Rapistrum perenne,Rapistrum perenne,FALSE,FALSE
Ornithogalum kochii,Scorzonera austriaca,Scorzonera austriaca,FALSE,FALSE
Orobanche alba,Seseli osseum,Seseli osseum,FALSE,FALSE
Poa badensis,Seseli pallasii,Seseli pallasii,FALSE,FALSE
Potentilla incana,Stipa eriocaulis,Stipa eriocaulis,FALSE,FALSE
Ranunculus illyricus,Stipa pennata,Stipa pennata,FALSE,FALSE
Rapistrum perenne,Stipa pulcherrima,Tephroseris integrifolia,FALSE,FALSE
Scorzonera austriaca,Tephroseris integrifolia,Thymus pannonicus,FALSE,FALSE
Seseli osseum,Thymus pannonicus,Valeriana stolonifera,FALSE,FALSE
Seseli pallasii,Valeriana stolonifera,Veronica praecox,FALSE,FALSE
Stipa eriocaulis,Veronica praecox,Veronica vindobonensis,FALSE,FALSE
Stipa pennata,Veronica prostrata,Viola rupestris,FALSE,FALSE
Stipa pulcherrima,Veronica vindobonensis,FALSE,FALSE,FALSE
Taraxacum sect. Erythrosperma,Viola rupestris,FALSE,FALSE,FALSE
Tephroseris integrifolia,FALSE,FALSE,FALSE,FALSE
Thymus pannonicus,FALSE,FALSE,FALSE,FALSE
Valeriana stolonifera,FALSE,FALSE,FALSE,FALSE
Veronica arvensis,FALSE,FALSE,FALSE,FALSE
Veronica praecox,FALSE,FALSE,FALSE,FALSE
Veronica prostrata,FALSE,FALSE,FALSE,FALSE
Veronica sublobata,FALSE,FALSE,FALSE,FALSE
Veronica vindobonensis,FALSE,FALSE,FALSE,FALSE
Viola rupestris,FALSE,FALSE,FALSE,FALSE
