"","X","Height","Tree","Shrub","WoodyLiana","ParasiticEpiphyte","DwarfShrub","MonocarpPerennialHerb","PolycarpNonClonalHerb","ClonalHerb","AnnualHerb","ChamPh","GeoPh","HemiPh","HydroPh","MphanPh","NphanPh","TherPh","LfArVertic","LfArAltern","LfArRosette","LfArOppos","LfTSimple","LfTReduced","LfTComp","LfGrSpring","LfGrSummer","LfGrWinter","LfGrPersist","LfScler","LfSuccul","LA","SLA","LDMC","FloweringLength","Dioecy","OutCross","AutoGam","ZooGam","AnemoGam","HydroGam","FleshyFr","VegetRepr","MyrmChor","SeedMass","Sh_polycyclic_Woody_incl","BdBank_size","BdBank_depth","Parasit","MHtroph","Cvory","Nfix","Gnm_size","Gnm_GC","Clon_persist","Clon_multip","LateralSpr","ClonInd","ClonDispOrg","DiasporeVeg","DiasporeGen","DispAllium","DispBidens","DispCornus","DispEpilobium","DispalLycopodium","DispPhragmites","DispSparganium","DispWolffia","DispZea"
"1","Abies_alba",3.68890445380144,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.88,0,3.71965111278069,5.87,319.3,1,0,0.9,0,0,1,1,0,0,0,4.37210255347619,1,0,0,0,0,0,0,10.4277236525556,43.47,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"2","Abutilon_theophrasti",0.000999500333083423,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.75,0,NA,NA,NA,2,0,0.6,1,0,0,0,0,0,0,2.36273901581379,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"3","Acer_campestre",2.0150363449875,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0.75,0,8.46410882032378,14.54,360.5,1,0,0.5,0,1,0,0,0,0.25,0,3.99562858928294,1,30,10,0,0,0,0,7.10768752003575,37.68,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0
"4","Acer_negundo",2.70811686554675,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0.75,0,NA,25.1,NA,2,1,0.9,0,0,1,1,0,0.5,0,3.71892357546231,1,0,0,0,0,0,0,6.80943657811336,37.21,NA,NA,NA,NA,NA,0,1,0,0,0,1,0,0,0,0,0
"5","Acer_platanoides",3.21891582406822,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.63,0,8.55521510937854,19.66,274,2,0,1,0,1,0,0,0,0,0,4.61353510231972,1,0,0,0,0,0,0,7.12250368950796,37.81,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"6","Acer_pseudoplatanus",3.40123071443995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.75,0,9.03183313142013,16.68,262.5,1,0.5,0.75,0,1,0,0,0,0,0,4.23714536085377,1,30,10,0,0,0,0,7.75631519977882,37.82,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"7","Achillea_asplenifolia",-0.509160344446929,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,0,NA,1,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0
"8","Achillea_collina",-0.841647188878389,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.88,0,6.94455961350419,17.4,190.87,5,0.5,0.88,0,1,0,0,0,0.5,1,-1.89711998488588,NA,NA,NA,0,0,0,0,9.13731688847508,40.22,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,0,0,0
"9","Achillea_millefolium",-0.596020469829223,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.88,0,6.01859321449623,18.94,185.5,5,0.5,0.88,0,1,0,0,0,0.5,1,-1.96611285637283,1,22.14,5.06,0,0,0,0,9.51018122594688,NA,4,4.75,0.14,5,0,0,1,1,0,0,0,0,0,0,0,0
"10","Achillea_nobilis",-0.964955903855436,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.88,0,NA,NA,NA,5,0.5,1,0,1,0,0,0,0.5,1,-2.65926003693278,1,37.67,8.45,0,0,0,0,8.41701478098305,40.15,3.5,3.38,0.1,5,0,0,1,1,0,0,0,0,0,0,0,0
