"","Height","Tree","Shrub","WoodyLiana","ParasiticEpiphyte","DwarfShrub","MonocarpPerennialHerb","PolycarpNonClonalHerb","ClonalHerb","AnnualHerb","ChamPh","GeoPh","HemiPh","HydroPh","MphanPh","NphanPh","TherPh","LfArVertic","LfArAltern","LfArRosette","LfArOppos","LfTSimple","LfTReduced","LfTComp","LfGrSpring","LfGrSummer","LfGrWinter","LfGrPersist","LfScler","LfSuccul","LA","SLA","LDMC","FloweringLength","Dioecy","OutCross","AutoGam","ZooGam","AnemoGam","HydroGam","FleshyFr","VegetRepr","MyrmChor","SeedMass","Sh_polycyclic_Woody_incl","BdBank_size","BdBank_depth","Parasit","MHtroph","Cvory","Nfix","Gnm_size","Gnm_GC","Clon_persist","Clon_multip","LateralSpr","ClonInd","ClonDispOrg","DiasporeVeg","DiasporeGen","DispAllium","DispBidens","DispCornus","DispEpilobium","DispalLycopodium","DispPhragmites","DispSparganium","DispWolffia","DispZea"
"Abies_alba",4.18885257202638,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.973156861705521,-0.0800299849742371,-1.91844501610185,-1.97571451142809,1.84217693561436,-1.64932627678913,-0.454572899827647,1.26294567181688,-1.18587041385426,-1.85812506704784,1.94319747825551,4.67134083333187,-0.26861629036035,-1.17100613052366,-0.506655847922114,2.63901948519322,1.40709211259973,-1.80533673228504,-1.70453112427513,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,2.67104696113765,1.15176859096681,-0.963999071580031,-0.74219943182486,-0.649568744720956,-1.00190218051859,-0.216230409684991,-0.258105326136637,0.0628470975161218,0,0,0,1,0,0,0,0,0
"Abutilon_theophrasti",0.748001754233101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.37885500440375,-0.0800299849742371,0,0,0,-0.785213700096451,-0.454572899827647,-0.213606839922764,1.06825340961718,-1.85812506704784,-0.651920418351525,-0.271187686397183,-0.26861629036035,-1.17100613052366,-0.506655847922114,1.43007735111103,0,0,0,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,0,0,-0.963999071580031,-0.74219943182486,-0.649568744720956,-1.00190218051859,-0.216230409684991,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Acer_campestre",2.627117515467,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,1,0,0,0,1,0,0,0.37885500440375,-0.0800299849742371,1.24467302373204,-1.08332964258593,2.5380723695157,-1.64932627678913,-0.454572899827647,-0.705791010502646,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,-0.129291974020086,-0.506655847922114,2.41251232052771,1.40709211259973,1.47557640368602,2.77402124909638,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,-0.820506322867689,-1.1209484106035,0,0,0,0,0,-0.258105326136637,0.0628470975161218,0,0,0,1,0,0,0,0,0
"Acer_negundo",3.27376831207174,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0.37885500440375,-0.0800299849742371,0,0.00358895198998007,0,-0.785213700096451,4.21927420571732,1.26294567181688,-1.18587041385426,-1.85812506704784,1.94319747825551,4.67134083333187,-0.26861629036035,0.912422182483491,-0.506655847922114,2.24603156995695,1.40709211259973,-1.80533673228504,-1.70453112427513,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,-1.13416527540941,-1.30543493750127,0,0,0,0,0,-0.258105326136637,0.0628470975161218,0,0,0,1,0,0,0,0,0
"Acer_platanoides",3.75034865682916,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,-0.169731325413269,-0.0800299849742371,1.30541335786828,-0.556338808852157,1.07702977164031,-0.785213700096451,-0.454572899827647,1.75512984239676,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,-1.17100613052366,-0.506655847922114,2.78427840691893,1.40709211259973,-1.80533673228504,-1.70453112427513,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,-0.804924731851142,-1.06992022231263,-0.963999071580031,-0.74219943182486,-0.649568744720956,-1.00190218051859,-0.216230409684991,-0.258105326136637,0.0628470975161218,0,0,0,1,0,0,0,0,0
"Acer_pseudoplatanus",3.92045020433284,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0.37885500440375,-0.0800299849742371,1.62317339633017,-0.863063942548768,0.882787114119309,-1.64932627678913,1.88235065294483,0.524669415947059,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,-1.17100613052366,-0.506655847922114,2.55782191521616,1.40709211259973,1.47557640368602,2.77402124909638,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,-0.138369739135752,-1.06599497705949,-0.963999071580031,-0.74219943182486,-0.649568744720956,-1.00190218051859,-0.216230409684991,-0.258105326136637,0.0628470975161218,0,0,0,1,0,0,0,0,0
"Achillea_asplenifolia",0.272017708747949,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0269541778975741,0.580592991913747,0.0900269541778976,0.302425876010782,0,-0.0800299849742371,0,0,0,1.80712402998159,0,0,0,0,0,0,-0.26861629036035,0,2.00177672963684,0,0,0,0,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,0,0,0,0,0,0,0,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Achillea_collina",-0.0381957173034913,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.973156861705521,-0.0800299849742371,0.231593383278168,-0.788955856554956,-0.327091282248485,1.80712402998159,1.88235065294483,1.16450883770091,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,0.912422182483491,2.00177672963684,-1.13288496738821,0,0,0,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,1.31397619594439,-0.123936116304953,0,0,0,0,0,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Achillea_millefolium",0.190976375734686,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.973156861705521,-0.0800299849742371,-0.385746089750631,-0.630446894845969,-0.417794157977859,1.80712402998159,1.88235065294483,1.16450883770091,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,0.912422182483491,2.00177672963684,-1.17439482248836,1.40709211259973,0.615977162061601,0.561616376650857,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,1.70610316385183,0,1.58193858196129,1.91614792893284,1.59699185988253,1.6093349557038,-0.216230409684991,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Achillea_nobilis",-0.153243935227541,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.973156861705521,-0.0800299849742371,0,0,0,1.80712402998159,1.88235065294483,1.75512984239676,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,0.912422182483491,2.00177672963684,-1.591429777086,1.40709211259973,2.31439652878262,2.0798456312238,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,0.55646239533976,-0.151412833076961,1.26369637526862,1.14942458488272,0.955117401424391,1.6093349557038,-0.216230409684991,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Achillea_pannonica",0.156480408749438,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.973156861705521,-0.0800299849742371,-0.170238476969527,-1.74824385858597,2.09030081726511,1.80712402998159,1.88235065294483,1.75512984239676,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,0.912422182483491,2.00177672963684,-1.13288496738821,1.40709211259973,0.381938691695666,0.0868898250734766,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,1.96558220641037,-0.100384644786089,1.58193858196129,2.61571302386908,1.43652324526799,1.6093349557038,-0.216230409684991,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
"Achillea_pratensis",0.190976375734686,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0269541778975741,0.580592991913747,0.0900269541778976,0.302425876010782,0,-0.0800299849742371,0,0,0,3.53534918336696,1.88235065294483,1.75512984239676,-1.18587041385426,0.68176794739476,-0.651920418351525,-0.271187686397183,-0.26861629036035,0.912422182483491,2.00177672963684,0,0,0,0,-0.150982119536845,-0.191477287372964,-0.0715351730397195,-0.225544113768658,1.37078485162321,-0.163188568836393,0,0,0,0,0,-0.258105326136637,0.0628470975161218,1,0,0,0,0,0,0,0,0
